number,Species,origin,latitude,longitude,site,herbivory,Growth,hemisphere,Study,enemy
1883,Rinorea racemosa,Native,4.5,-75.84,360,15.9,Woody,north,mDM,insects
1884,Pachira aquatica,Native,4.5,-75.84,360,22.3,Woody,north,mDM,insects
1885,Pachira brevipes,Native,4.5,-75.84,360,6.3,Woody,north,mDM,insects
1886,Pachira insignis,Native,4.5,-75.84,360,10.6,Woody,north,mDM,insects
1887,Erisma bicolor,Native,4.5,-75.84,360,5,Woody,north,mDM,insects
1888,Sorocea spp.,Native,4.5,-75.84,360,6.5,Woody,north,mDM,insects
1889,Protium hebetatum,Native,4.5,-75.84,360,8.4,Woody,north,mDM,insects
1890,Protium laxiflorum,Native,4.5,-75.84,360,34.5,Woody,north,mDM,insects
1891,Protium subserratum,Native,4.5,-75.84,360,1.5,Woody,north,mDM,insects
1215,Eurya muricata,Native,29.23,118.12,319,3.056,Woody,north,mDN,insects
1216,Eurya rubiginosa,Native,29.23,118.12,319,2.844,Woody,north,mDN,insects
1217,Ardisia crenata,Native,29.23,118.12,319,1.751,Woody,north,mDN,insects
1218,Symplocos stellaris,Native,29.23,118.12,319,1.461,Woody,north,mDN,insects
1219,Camellia fraterna,Native,29.23,118.12,319,2.986,Woody,north,mDN,insects
1220,Schima superba,Native,29.23,118.12,319,5.728,Woody,north,mDN,insects
1221,Castanopsis carlesii,Native,29.23,118.12,319,3.199,Woody,north,mDN,insects
1222,Castanopsis eyrei,Native,29.23,118.12,319,5.296,Woody,north,mDN,insects
1223,Castanopsis fargesii,Native,29.23,118.12,319,5.299,Woody,north,mDN,insects
1224,Castanopsis tibetana,Native,29.23,118.12,319,3.778,Woody,north,mDN,insects
1225,Cyclobalanopsis glauca,Native,29.23,118.12,319,13.998,Woody,north,mDN,insects
1226,Cyclobalanopsis myrsinifolia,Native,29.23,118.12,319,11.073,Woody,north,mDN,insects
1227,Lithocarpus glaber,Native,29.23,118.12,319,10.05,Woody,north,mDN,insects
1228,Quercus serrata,Native,29.23,118.12,319,11.216,Woody,north,mDN,insects
1229,Myrica rubra,Native,29.23,118.12,319,3.269,Woody,north,mDN,insects
1230,Cinnamomum subavenium,Native,29.23,118.12,319,4.863,Woody,north,mDN,insects
1231,Machilus thunbergii,Native,29.23,118.12,319,3.921,Woody,north,mDN,insects
1232,Neolitsea aurata,Native,29.23,118.12,319,4.137,Woody,north,mDN,insects
1233,Daphniphyllum oldhamii,Native,29.23,118.12,319,5.292,Woody,north,mDN,insects
1234,Loropetalum chinense,Native,29.23,118.12,319,4.647,Woody,north,mDN,insects
1235,Meliosma oldhamii,Native,29.23,118.12,319,2.627,Woody,north,mDN,insects
2076,Aspidosperma tomentosum,Native,-15.93,-44.92,375,8.862,Woody,south,mDO,insects
2077,Barjonia erecta,Native,-15.93,-44.92,375,0.65,Nonwoody,south,mDO,insects
2078,Borreria spp.,Native,-15.93,-44.92,375,6.992,Nonwoody,south,mDO,insects
2079,Chomelia ribesioides,Native,-15.93,-44.92,375,9.431,Woody,south,mDO,insects
2080,Palicourea rigida,Native,-15.93,-44.92,375,5.041,Woody,south,mDO,insects
2081,Sabicea brasiliensis,Native,-15.93,-44.92,375,12.033,Woody,south,mDO,insects
2082,Hyptis saxatilis,Native,-15.93,-44.92,375,5.122,Woody,south,mDO,insects
2083,Kielmeyera coriacea,Native,-15.93,-44.92,375,4.634,Woody,south,mDO,insects
2084,Kielmeyera variabilis,Native,-15.93,-44.92,375,4.634,Woody,south,mDO,insects
2085,Croton goyazensis,Native,-15.93,-44.92,375,7.805,Woody,south,mDO,insects
2086,Dalechampia caperonioides,Native,-15.93,-44.92,375,2.683,Nonwoody,south,mDO,insects
2087,Manihot spp.,Native,-15.93,-44.92,375,5.528,Woody,south,mDO,insects
2088,Maprounea guianensis,Native,-15.93,-44.92,375,3.984,Woody,south,mDO,insects
2089,Banisteriopsis campestris,Native,-15.93,-44.92,375,14.553,Nonwoody,south,mDO,insects
2090,Byrsonima coccolobifolia,Native,-15.93,-44.92,375,6.911,Woody,south,mDO,insects
2091,Byrsonima crassa,Native,-15.93,-44.92,375,9.106,Woody,south,mDO,insects
2092,Byrsonima verbascifolia,Native,-15.93,-44.92,375,3.74,Woody,south,mDO,insects
2093,Peixotoa goiana,Native,-15.93,-44.92,375,5.041,Woody,south,mDO,insects
2094,Erythroxylum campestre,Native,-15.93,-44.92,375,4.472,Woody,south,mDO,insects
2095,Erythroxylum deciduum,Native,-15.93,-44.92,375,6.911,Woody,south,mDO,insects
2096,Erythroxylum suberosum,Native,-15.93,-44.92,375,13.252,Woody,south,mDO,insects
2097,Erythroxylum tortuosum,Native,-15.93,-44.92,375,2.927,Woody,south,mDO,insects
2098,Pavonia rosa-campestris,Native,-15.93,-44.92,375,10.244,Woody,south,mDO,insects
2099,Qualea grandiflora,Native,-15.93,-44.92,375,7.154,Woody,south,mDO,insects
2100,Qualea parviflora,Native,-15.93,-44.92,375,12.602,Woody,south,mDO,insects
1611,Polybotrya cervina,Native,10.43,-84,343,9.9,Nonwoody,north,mDP,insects
1612,Thelypteris turrialbae,Native,10.43,-84,343,5.5,Nonwoody,north,mDP,insects
1613,Adiantum obliquum,Native,10.43,-84,343,7.3,Nonwoody,north,mDP,insects
1342,Begonia spp.1,Native,19.63,-97.08,328,5,Nonwoody,north,mDQ,insects
1343,Begonia spp.2,Native,19.63,-97.08,328,7,Nonwoody,north,mDQ,insects
1344,Gunnera mexicana,Native,19.63,-97.08,328,4,Nonwoody,north,mDQ,insects
1345,Blechnum varians,Native,19.63,-97.08,328,12,Nonwoody,north,mDQ,insects
1346,Polystichum muricatum,Native,19.63,-97.08,328,16,Nonwoody,north,mDQ,insects
1347,Thelypteris cheilanthoides,Native,19.63,-97.08,328,38,Nonwoody,north,mDQ,insects
148,Nuphar lutea,Native,60.67,25,39,13.3,Nonwoody,north,mDS,insects
149,Nuphar lutea,Native,60.67,25,39,21.7,Nonwoody,north,mDS,insects
150,Nuphar lutea,Native,60.67,25,39,17.2,Nonwoody,north,mDS,insects
198,Anthriscus sylvestris,Native,50.95,11.62,61,0.505,Nonwoody,north,mDV,multiple
199,Carum carvi,Native,50.95,11.62,61,0.67,Nonwoody,north,mDV,multiple
200,Daucus carota,Native,50.95,11.62,61,0.655,Nonwoody,north,mDV,multiple
201,Heracleum sphondylium,Native,50.95,11.62,61,1.28,Nonwoody,north,mDV,multiple
202,Pastinaca sativa,Native,50.95,11.62,61,0.445,Nonwoody,north,mDV,multiple
203,Pimpinella major,Native,50.95,11.62,61,0.19,Nonwoody,north,mDV,multiple
204,Achillea millefolium,Native,50.95,11.62,61,0.51,Nonwoody,north,mDV,multiple
206,Centaurea jacea,Native,50.95,11.62,61,1.54,Nonwoody,north,mDV,multiple
207,Cirsium oleraceum,Native,50.95,11.62,61,1.32,Nonwoody,north,mDV,multiple
209,Leontodon autumnalis,Native,50.95,11.62,61,1.095,Nonwoody,north,mDV,multiple
210,Leontodon hispidus,Native,50.95,11.62,61,0.1,Nonwoody,north,mDV,multiple
211,Leucanthemum vulgare agg.,Native,50.95,11.62,61,1.295,Nonwoody,north,mDV,multiple
212,Taraxacum officinale,Native,50.95,11.62,61,0.315,Nonwoody,north,mDV,multiple
213,Tragopogon pratensis,Native,50.95,11.62,61,0.48,Nonwoody,north,mDV,multiple
214,Rumex acetosa,Native,50.95,11.62,61,2.25,Nonwoody,north,mDV,multiple
215,Knautia arvensis,Native,50.95,11.62,61,0.37,Nonwoody,north,mDV,multiple
216,Primula veris,Native,50.95,11.62,61,0.365,Nonwoody,north,mDV,multiple
217,Lathyrus pratensis,Native,50.95,11.62,61,2.685,Nonwoody,north,mDV,multiple
218,Lotus corniculatus,Native,50.95,11.62,61,1.375,Nonwoody,north,mDV,multiple
219,Medicago lupulina,Native,50.95,11.62,61,3.98,Nonwoody,north,mDV,multiple
220,Medicago varia,Native,50.95,11.62,61,3.71,Nonwoody,north,mDV,multiple
222,Trifolium campestre,Native,50.95,11.62,61,6.49,Nonwoody,north,mDV,multiple
223,Trifolium dubium,Native,50.95,11.62,61,2.71,Nonwoody,north,mDV,multiple
224,Trifolium fragiferum,Native,50.95,11.62,61,10.205,Nonwoody,north,mDV,multiple
225,Trifolium hybridum,Native,50.95,11.62,61,10.61,Nonwoody,north,mDV,multiple
226,Trifolium pratense,Native,50.95,11.62,61,5.255,Nonwoody,north,mDV,multiple
227,Trifolium repens,Native,50.95,11.62,61,6.67,Nonwoody,north,mDV,multiple
228,Vicia cracca,Native,50.95,11.62,61,3.675,Nonwoody,north,mDV,multiple
229,Galium mollugo agg.,Native,50.95,11.62,61,0.875,Nonwoody,north,mDV,multiple
230,Geranium pratense,Native,50.95,11.62,61,1.105,Nonwoody,north,mDV,multiple
231,Glechoma hederacea,Native,50.95,11.62,61,2.955,Nonwoody,north,mDV,multiple
232,Prunella vulgaris,Native,50.95,11.62,61,2.05,Nonwoody,north,mDV,multiple
234,Plantago media,Native,50.95,11.62,61,0.515,Nonwoody,north,mDV,multiple
235,Veronica chamaedrys,Native,50.95,11.62,61,0.385,Nonwoody,north,mDV,multiple
236,Luzula campestris,Native,50.95,11.62,61,1.21,Nonwoody,north,mDV,multiple
237,Alopecurus pratensis,Native,50.95,11.62,61,1.38,Nonwoody,north,mDV,multiple
239,Arrhenatherum elatius,Native,50.95,11.62,61,0.76,Nonwoody,north,mDV,multiple
240,Avenula pubescens,Native,50.95,11.62,61,2.46,Nonwoody,north,mDV,multiple
242,Bromus hordeaceus,Native,50.95,11.62,61,2.23,Nonwoody,north,mDV,multiple
243,Dactylis glomerata,Native,50.95,11.62,61,0.645,Nonwoody,north,mDV,multiple
244,Festuca pratensis,Native,50.95,11.62,61,1.31,Nonwoody,north,mDV,multiple
245,Festuca rubra,Native,50.95,11.62,61,1.835,Nonwoody,north,mDV,multiple
246,Holcus lanatus,Native,50.95,11.62,61,0.43,Nonwoody,north,mDV,multiple
247,Phleum pratense,Native,50.95,11.62,61,0.55,Nonwoody,north,mDV,multiple
248,Poa pratensis,Native,50.95,11.62,61,1.67,Nonwoody,north,mDV,multiple
249,Poa trivialis,Native,50.95,11.62,61,1.97,Nonwoody,north,mDV,multiple
250,Trisetum flavescens,Native,50.95,11.62,61,1.825,Nonwoody,north,mDV,multiple
251,Ranunculus acris,Native,50.95,11.62,61,0.795,Nonwoody,north,mDV,multiple
252,Ranunculus repens,Native,50.95,11.62,61,2.155,Nonwoody,north,mDV,multiple
253,Sanguisorba officinalis,Native,50.95,11.62,61,0.645,Nonwoody,north,mDV,multiple
75,Arabidopsis thaliana,Native,62.8,18.2,17,1.672,Nonwoody,north,mDX,multiple
76,Arabidopsis thaliana,Native,62.8,18.2,17,0.084,Nonwoody,north,mDX,multiple
